date,spend,cpa,conversions
11/11/2020,1,,0
11/12/2020,99,20,5
11/13/2020,146,36,4
11/14/2020,166,83,2
11/15/2020,163,163,1
11/16/2020,87,87,1
11/17/2020,423,211,2
11/18/2020,1306,435,3
11/19/2020,1094,182,6
11/20/2020,924,154,6
11/21/2020,910,101,9
11/22/2020,1041,149,7
11/23/2020,2969,594,5
11/24/2020,2469,190,13
11/25/2020,7068,283,25
11/26/2020,8615,187,46
11/27/2020,8819,210,42
11/28/2020,8494,181,47
11/29/2020,8493,173,49
11/30/2020,7077,165,43
12/1/2020,3133,196,16
12/2/2020,4047,145,28
12/3/2020,6090,127,48
12/4/2020,3584,59,61
12/5/2020,5306,102,52
12/6/2020,6217,89,70
12/7/2020,8980,123,73
12/8/2020,10286,141,73
12/9/2020,7125,130,55
12/10/2020,5884,98,60
12/11/2020,4872,101,48
12/12/2020,6033,168,36
12/13/2020,6064,141,43
12/14/2020,5408,106,51
12/15/2020,6380,152,42
12/16/2020,248,23,11
12/23/2020,4773,165,29
12/24/2020,4274,116,37
12/25/2020,5679,153,37
12/26/2020,8228,187,44
12/27/2020,7730,193,40
12/28/2020,9656,225,43
12/29/2020,10430,237,44
12/30/2020,10531,251,42
12/31/2020,10121,253,40
1/1/2021,9948,237,42
1/2/2021,10585,246,43
1/3/2021,10055,205,49
1/4/2021,9206,200,46
1/5/2021,8910,234,38
1/6/2021,6601,106,62
1/7/2021,6797,189,36
1/8/2021,3983,173,23
1/9/2021,2054,76,27
1/10/2021,1996,91,22
1/11/2021,2081,95,22
1/12/2021,1896,63,30
1/13/2021,1197,27,45
1/14/2021,6679,128,52
1/15/2021,6760,61,110
1/16/2021,6446,64,101
1/17/2021,6581,100,66
1/18/2021,6592,98,67
1/19/2021,2953,48,62
1/20/2021,5649,70,81
1/21/2021,6359,130,49
1/22/2021,5046,1009,5
1/23/2021,6152,2051,3
1/24/2021,7065,1009,7
1/25/2021,5076,267,19
1/26/2021,3565,102,35
1/27/2021,984,45,22
1/28/2021,629,19,33
1/29/2021,275,21,13
1/30/2021,2871,61,47
1/31/2021,1531,29,53
2/1/2021,1778,38,47
2/2/2021,1796,28,64
2/3/2021,1875,52,36
2/4/2021,1842,33,55
2/5/2021,1733,44,39
2/6/2021,1199,32,38
2/7/2021,1202,39,31
2/8/2021,1247,36,35
2/9/2021,1111,34,33
2/10/2021,842,30,28
2/11/2021,1085,37,29
2/12/2021,1206,31,39
2/13/2021,1545,36,43
2/14/2021,1452,31,47
2/15/2021,1338,48,28
2/16/2021,1237,33,37
2/17/2021,1445,37,39
2/18/2021,1413,36,39
2/19/2021,1326,30,44
2/20/2021,1250,25,50
2/21/2021,1152,23,50
2/22/2021,1440,45,32
2/23/2021,1528,33,46
2/24/2021,1319,36,37
2/25/2021,2838,48,59
2/26/2021,3151,34,93
2/27/2021,3539,33,107
2/28/2021,2969,29,101
3/1/2021,2998,33,92
3/2/2021,2787,27,103
3/3/2021,3501,29,120
3/4/2021,3831,45,86
3/5/2021,4122,34,120
3/6/2021,4442,31,142
3/7/2021,4407,38,117
3/8/2021,2307,29,80
3/9/2021,2149,24,88
3/10/2021,4147,47,88
3/11/2021,4476,39,116
3/12/2021,4674,45,105
3/13/2021,5000,48,104
3/14/2021,4489,35,129
3/15/2021,3606,34,105
3/16/2021,3380,27,126
3/17/2021,2877,24,118
3/18/2021,3143,29,109
3/19/2021,2675,24,113
3/20/2021,2489,19,132
3/21/2021,2719,24,115
3/22/2021,2611,21,124
3/23/2021,3281,26,126
3/24/2021,4511,29,154
3/25/2021,4132,31,134
3/26/2021,5524,34,163
3/27/2021,5869,32,186
3/28/2021,6327,21,299
3/29/2021,4984,28,175
3/30/2021,4876,31,157
3/31/2021,5441,31,177
4/1/2021,5829,26,222
4/2/2021,5889,32,186
4/3/2021,6186,34,182
4/4/2021,6166,35,177
4/5/2021,6153,35,178
4/6/2021,7340,32,230
4/7/2021,5849,28,208
4/8/2021,6322,35,180
4/9/2021,5117,31,165
4/10/2021,4659,32,144
4/11/2021,4010,26,157
4/12/2021,4843,35,139
4/13/2021,7549,38,200
4/14/2021,11366,45,251
4/15/2021,13877,46,301
4/16/2021,12946,44,297
4/17/2021,13062,39,335
4/18/2021,14293,45,318
4/19/2021,12278,59,209
4/20/2021,12363,54,228
4/21/2021,11197,66,169
4/22/2021,9771,57,170
4/23/2021,9981,64,157
4/24/2021,10143,69,147
4/25/2021,9046,68,134
4/26/2021,9100,58,157
4/27/2021,21841,127,172
4/28/2021,21352,138,155
4/29/2021,16547,111,149
4/30/2021,11093,112,99
5/1/2021,8807,77,115
5/2/2021,6918,80,86
5/3/2021,8154,97,84
5/4/2021,7196,100,72
5/5/2021,6488,101,64
5/6/2021,5824,78,75
5/7/2021,8333,93,90
5/8/2021,12310,173,71
5/9/2021,12015,154,78
5/10/2021,8941,118,76
5/11/2021,6063,89,68
5/12/2021,10280,214,48
5/13/2021,12098,228,53
5/14/2021,12878,187,69
5/15/2021,9660,140,69
5/16/2021,8264,110,75
5/17/2021,5681,111,51
5/18/2021,1813,45,40
5/19/2021,769,43,18
5/20/2021,781,41,19
5/21/2021,894,28,32
5/22/2021,390,7,56
5/23/2021,1058,18,58
5/24/2021,2396,27,89
5/25/2021,2889,28,102
5/26/2021,2718,27,101
5/27/2021,2523,24,104
5/28/2021,4637,32,146
5/29/2021,6397,30,212
5/30/2021,5523,33,168
5/31/2021,6825,30,226
6/1/2021,6687,44,151
6/2/2021,7964,46,174
6/3/2021,7582,43,178
6/4/2021,10386,45,229
6/5/2021,9913,41,244
6/6/2021,8913,46,195
6/7/2021,6124,41,150
6/8/2021,6796,43,159
6/9/2021,7126,41,175
6/10/2021,5543,37,150
6/11/2021,5296,34,156
6/12/2021,5679,27,211
6/13/2021,5763,36,161
6/14/2021,4020,22,182
6/15/2021,4922,30,166
6/16/2021,4436,21,213
6/17/2021,4523,24,188
6/18/2021,2921,23,126
6/19/2021,2779,33,84
6/20/2021,3615,28,128
6/21/2021,2427,23,107
6/22/2021,1593,19,86
6/23/2021,1567,16,99
6/24/2021,1868,20,94
6/25/2021,1993,22,89
6/26/2021,1830,26,71
6/27/2021,1805,19,96
6/28/2021,1772,20,90
6/29/2021,2143,18,121
6/30/2021,2417,16,154
7/1/2021,2633,15,180
7/2/2021,2639,21,126
7/3/2021,2776,17,162
7/4/2021,3026,19,156
